('85123A', 305.98983086560651)
('71053', 1.8158211855338162)
('84406B', 1.3082517082733069)
('84029G', 6.1864034603950788)
('84029E', 35.608458176860609)
('22752', 1.8357867287315877)
('21730', 2.4132165249652093)
('22633', 15.338359689862269)
('22632', 6.4682133591199156)
('84879', 33.583701244902819)
('22745', 2.4187231738130279)
('22748', 1.4486722249802289)
('22749', 2.0643247696170151)
('22310', 5.263886104380612)
('84969', 0.67054886007828074)
('22623', 4.8463696535127854)
('22622', 4.1098231242494903)
('21754', 1.7702941850117504)
('21755', 3.5092438723579416)
('21777', None)
('48187', 3.222096995951325)
('22960', 10.200446498536195)
('22913', 2.5991527815447659)
('22912', 4.7862626732888032)
('22914', 12.045986555203628)
('21756', 11.031126509078778)
('22728', 23.030000675903391)
('22727', 29.278203096330468)
('22726', 5.1860308004281075)
('21724', 1.0327554168007793)
('21883', 8.1892880613958852)
('10002', 2.0079417936438775)
('21791', 2.4614041694466948)
('21035', 1.7173231135835698)
('22326', 18.289370983468082)
('22629', 11.114419566896975)
('22659', 6.3148591401164582)
('22631', 4.34905710019203)
('22661', 8.3604768243629657)
('21731', 14.620668474575888)
('22900', 6.540846326064484)
('21913', 0.78884049309573978)
('22540', 30.179553331949542)
('22544', 5.2894818677384912)
('22492', 16.233970726396876)
('POST', 99.454662147095377)
('22086', 23.119732849640862)
('20679', 13.539920833918412)
('37370', 5.3957554619716346)
('21871', 6.2322694181948561)
('21071', 2.8941269531635698)
('21068', 2.7180130966417635)
('82483', 11.43334968146957)
('82486', 1.8531543057821194)
('82482', 6.1041964201051924)
('82494L', 8.1468323917527083)
('21258', 2.532110957939401)
('22114', 28.363939753070738)
('21733', 61.873676866614545)
('22386', 8.8026584282321121)
('85099C', 5.3806685678883994)
('21033', 5.6557982630406034)
('20723', 17.126393695042978)
('84997B', 6.2052754007034228)
('84997C', 33.388639718833417)
('21094', 28.402630394013713)
('20725', 7.6612737131088613)
('21559', 8.1894014243726314)
('22352', 3.8202429032858216)
('21212', 19.869825649396279)
('21975', 45.424639105183203)
('21977', 6.914255269345718)
('84991', 20.365627851871178)
('84519A', 7.7704785045101117)
('85183B', 2.322299056245035)
('85071B', 1.6430604240861804)
('21931', 7.5768055393932183)
('21929', 9.3068231909629784)
('22961', 29.870931045058182)
('22139', 5.7775636132624859)
('84854', 0.0)
('22411', 4.7862314514088995)
('82567', 0.81809526147989087)
('21672', 10.159517602186067)
('22774', 59.525587835920966)
('22771', 18.6280215601547)
('71270', 0.44062768468513602)
('22262', 1.694682613121796)
('22637', 5.0956532306439311)
('21934', 2.3371429545048157)
('21169', 2.909138663977378)
('21166', 24.01734109686403)
('21175', 142.0677131029764)
('37444A', 0.20525776882274691)
('37444C', 0.69642886276911686)
('22083', 5.4276815103239802)
('84971S', 1.8084018434141094)
('47580', 3.2202780946525196)
('22261', 0.87847642481836519)
('84832', 24.174872433990515)
('22644', 2.5538078831330067)
('21533', 11.109259832955821)
('21557', 2.0417033983628712)
('15056BL', 18.818096737133573)
('15056N', 8.8468158941290191)
('22646', 3.7232050263232144)
('22176', 8.4214274032182601)
('22438', 1.8695521533435011)
('22778', 2.4271654890120047)
('22719', 2.931085732160676)
('21523', 4.840315856330581)
('D', 0.0)
('21912', 2.8422573414095158)
('21832', 1.7265039627676799)
('22379', 3.4361720227315757)
('22381', 4.0737359560774573)
('22798', 1.5570162200707323)
('22926', 1.8020899019350824)
('22839', 1.4404739751064055)
('22838', 1.1351098973040905)
('22783', 1.4160099714376417)
('35004C', 3.4488662789288487)
('82484', 5.7159443810870973)
('84755', 117.55191749667722)
('22464', 5.9698700667243143)
('21324', 0.16372532311722335)
('22457', 8.6641168203035335)
('22469', 113.34577191542344)
('22470', 114.450716196958)
('22224', 1.2732434471662495)
('21340', 1.9371068476651314)
('22189', 7.4235333060176121)
('22427', 5.2010486913094924)
('22428', 0.68198867796627094)
('22424', 0.68712978710795225)
('22663', 4.6489492524954548)
('85049A', 2.7356707018330471)
('22168', 0.48677738111934993)
('22662', 5.0048107412101279)
('84880', 2.825663077463755)
('85099B', 25.255088885516159)
('79321', 45.191999048681119)
('22780', 6.3514337896643882)
('22779', 8.1102675419950998)
('22466', 14.065713919805839)
('21363', 1.185807466939486)
('21411', 1.4744320170050993)
('22318', 0.9715557909840089)
('22915', 10.071436921356389)
('22922', 23.08970841947869)
('22969', 19.920669974912972)
('22923', 6.0628441344373076)
('21115', 2.0641137206570082)
('22242', 22.816815315437008)
('22941', 2.8708477206796825)
('21622', 10.520668459391596)
('35004G', 3.6379244057223046)
('85014B', 16.147535944431961)
('85014A', 3.3181147890655334)
('22193', 2.2519631711384944)
('22192', 1.3823478149962531)
('22191', 3.2790650619368611)
('22195', 13.584256047500919)
('22196', 14.708850861483754)
('22962', 25.505851770996689)
('22963', 4.843878811810594)
('22968', 3.0651777592707403)
('84970S', 14.823956698440265)
('22910', 15.836126576264565)
('20668', 62.214752315326777)
('22197', 77.327878946406216)
('22198', 33.49963136298306)
('21080', 9.5505382137578376)
('21086', 11.844519108818121)
('21786', 1.7632392606468876)
('22654', 7.840997300720435)
('21485', 6.9265948247130851)
('84030E', 2.8636616256177176)
('22174', 39.707628504991419)
('22556', 9.0268227340335478)
('21984', 3.7051253348639102)
('21983', 22.600857522793618)
('21980', 4.4001743531539743)
('21484', 11.449695173262658)
('22557', 12.232443948584988)
('22553', 3.0896589473949576)
('22150', 3.3674664106320842)
('22619', 3.6841307443236637)
('21891', 5.9368421919838292)
('21889', 5.5518165779573909)
('22827', 0.15282740761038804)
('22127', 17.714048267685179)
('22128', 14.899394541222382)
('22502', 36.005781047968881)
('22338', 38.565943356302093)
('22180', 1.1879318167792021)
('21506', 6.7183434280949914)
('22866', 30.125596476045573)
('22865', 8.9549279914750866)
('22349', 3.5270295935252527)
('22558', 5.8499285517557658)
('85152', 50.069694710140517)
('22652', 15.041656573944394)
('22188', 6.871058692470819)
('21314', 4.6687874414148949)
('22730', 4.0573480511843929)
('22729', 5.6634091542443885)
('22867', 8.022543014450088)
('22803', 0.35845772043070351)
('35004B', 1.8972346364055004)
('21844', 3.8715642557249983)
('22468', 0.77611824639104787)
('48185', 122.45830767224699)
('21232', 11.121156059133529)
('22064', 2.860524241241007)
('22449', 3.5715635453757395)
('22835', 4.1526401674904649)
('22112', 6.8624285460152175)
('21479', 25.728136496838932)
('22111', 15.914475427930901)
('22110', 1.8312056591855748)
('22098', 2.6584899233482298)
('22100', 2.0440020509640893)
('22766', 14.492859547464052)
('22451', 8.7391079054911707)
('22549', 5.0438308921540154)
('84744', 4.1135858557713902)
('85049E', 3.5304187685418302)
('21328', 1.7055548378607233)
('17091A', 22.613177074309625)
('22473', 3.7066113762221735)
('84509A', 1.3296044210062188)
('84510A', 1.2701309308561373)
('22767', 1.25233708749886)
('22768', 1.2025238704320409)
('21463', 3.22265760926147)
('21464', 3.9940563054481117)
('20820', 0.09584006025432773)
('85150', 22.621671709355287)
('22117', 82.337568806218883)
('48129', 10.530729706060217)
('82580', 61.500878282235995)
('82578', 2.5983371091870238)
('82581', 5.0446997685992203)
('22413', 3.7805363523914242)
('21907', 3.2010899883995436)
('22441', 2.5312265290786176)
('21122', 3.7105656551354)
('22851', 5.4052929435244321)
('22810', 1.9868144482121695)
('22809', 2.748567900691202)
('22435', 3.2080257219528758)
('20966', 4.8312287343548768)
('20963', 1.399001351668459)
('20961', 3.3022432898728078)
('22068', 2.90373916195718)
('21743', 4.4198640800143716)
('21744', 3.2795659647235187)
('84709B', 0.18037281789768694)
('21592', 2.9000689179837651)
('21587', 1.599764971427146)
('20992', 2.772774549427429)
('22804', 2.3222379604503822)
('20749', 2.856579564294722)
('22382', 2.7474791061434156)
('20726', 5.5489140454767014)
('22384', 2.1449614194057864)
('22467', 33.952885712953801)
('84625C', 19.176495211276613)
('84625A', 4.542953633136146)
('21108', 361.83438192572157)
