"Survey Period","Round","Value","Male_Female","Pri_Sec_Ter","PS_ALL","Rural_Urban"
"January-December 1983","38","772","Male","Primary Sector","PS","Rural"
"July 1987-June 1988","43","739","Male","Primary Sector","PS","Rural"
"July 1989 -June 1990","45","716","Male","Primary Sector","PS","Rural"
"July 1990-June 1991","46","705","Male","Primary Sector","PS","Rural"
"July-December 1991","47","748","Male","Primary Sector","PS","Rural"
"January-December 19","48","753","Male","Primary Sector","PS","Rural"
"January-June 1993","49","749","Male","Primary Sector","PS","Rural"
"July 1993-June 1994","50","739","Male","Primary Sector","PS","Rural"
"July 1994-June 1995","51","752","Male","Primary Sector","PS","Rural"
"July 1995 -June 1996","52","746","Male","Primary Sector","PS","Rural"
"January-December 1997","53","757","Male","Primary Sector","PS","Rural"
"January-June 1998","54","755","Male","Primary Sector","PS","Rural"
"July 1999-June 2000","55","712","Male","Primary Sector","PS","Rural"
"July 2000-June 2001","56","688","Male","Primary Sector","PS","Rural"
"July 2001 -June 2002","57","672","Male","Primary Sector","PS","Rural"
"July-December 2002","58","685","Male","Primary Sector","PS","Rural"
"January-D","59","704","Male","Primary Sector","PS","Rural"
"January-June 2004","60","654","Male","Primary Sector","PS","Rural"
"July 2004-June 2005","61","662","Male","Primary Sector","PS","Rural"
"July 2005-June 2006","62","648","Male","Primary Sector","PS","Rural"
"January-December 1983","38","775","Male","Primary Sector","ALL","Rural"
"July 1987-June 1988","43","745","Male","Primary Sector","ALL","Rural"
"July 1989 -June 1990","45","717","Male","Primary Sector","ALL","Rural"
"July 1990-June 1991","46","710","Male","Primary Sector","ALL","Rural"
"July-December 1991","47","749","Male","Primary Sector","ALL","Rural"
"January-December 19","48","757","Male","Primary Sector","ALL","Rural"
"January-June 1993","49","750","Male","Primary Sector","ALL","Rural"
"July 1993-June 1994","50","741","Male","Primary Sector","ALL","Rural"
"July 1994-June 1995","51","756","Male","Primary Sector","ALL","Rural"
"July 1995 -June 1996","52","748","Male","Primary Sector","ALL","Rural"
"January-December 1997","53","758","Male","Primary Sector","ALL","Rural"
"January-June 1998","54","757","Male","Primary Sector","ALL","Rural"
"July 1999-June 2000","55","714","Male","Primary Sector","ALL","Rural"
"July 2000-June 2001","56","690","Male","Primary Sector","ALL","Rural"
"July 2001 -June 2002","57","678","Male","Primary Sector","ALL","Rural"
"July-December 2002","58","688","Male","Primary Sector","ALL","Rural"
"January-D","59","708","Male","Primary Sector","ALL","Rural"
"January-June 2004","60","659","Male","Primary Sector","ALL","Rural"
"July 2004-June 2005","61","665","Male","Primary Sector","ALL","Rural"
