"Week","Month","Year","Item Desc WSS","Item Seq WSS","Amount"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","1 Foreign Currency Assets","14","7527.38"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","5 Bills Purchased and Discounted","26",""
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","1 Notes Issued","1","4691.29"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","7 Other Assets","30","43.02"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","6 Investments","29","39.73"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","3 Rupee Securities (including Treasury Bills)","16","1024.47"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","5.2 Treasury","28",""
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","5.1 Commercial","27",""
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","4.8 Others","25","3.73"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","4.7 Export-Import Bank of India","24",""
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","4.3 NABARD","20","26.69"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","4.6 Industrial Development Bank of India","23",""
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","4.5 Scheduled State Co-op.Banks","22","0.21"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","4.4 Scheduled Commercial Banks","21","48.93"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","4.2 State Governments ","19","4.72"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","4.1 Central Government","18",""
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","4 Loans and Advances","17","84.28"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","3 Other Liabilities","12","1748.11"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","2.7 Others","11","117.53"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","2.6 Other Banks","10","69.58"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","2.5 Scheduled State Co-operative Banks","9","19.45"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","2.4 Scheduled Commercial Banks","8","1530.79"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","2.3 State Governments","7","0.41"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","2.2 Market Stabilisation Scheme","6","373.14"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","2.1 Central Government","5","456.82"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","2 Deposits","4","2567.72"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","2 Gold Coin and Bullion","15","288.24"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","Total Liabilities /Assets","13","9007.12"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","1.2 Notes held in Banking Department","3","0.17"
"2006/12/29 00:00:00","2006/12/29 00:00:00","2006-07   ","1.1 Notes in Circulation","2","4691.12"
"2007/01/05 00:00:00","2007/01/05 00:00:00","2006-07   ","1 Foreign Currency Assets","14","7509.83"
"2007/01/05 00:00:00","2007/01/05 00:00:00","2006-07   ","5 Bills Purchased and Discounted","26",""
"2007/01/05 00:00:00","2007/01/05 00:00:00","2006-07   ","1 Notes Issued","1","4730.26"
"2007/01/05 00:00:00","2007/01/05 00:00:00","2006-07   ","7 Other Assets","30","45.75"
